positive words,negative words,risk words,forward-looking words,environmental words,governance words,social words
great,decline,impact,will,soil,meeting,child
excellent,drop,likely,expect,carbon,board,workplace
good,downturn,potential,anticipate,co2,recommendation,social
successful,decrease,consequence,plan,plastic,engagement,worker
strong,slowdown,potentially,even,water use,formal,health
fantastic,deterioration,cause,expectation,chemical,inform,community
best,fall,disruption,hope,waste water,senior management,care
unique,lower,difficulty,view,air,communication,youth
strength,contraction,extreme,intend,renewable energy,policy,colleague
truly,sharp decline,low,predict,consumption,individual,people disability
success,negative,reduce,mean,reduce emission,person,equality
create,slump,affect,therefore,environmental impact,evaluation,work
dynamic,weaker,difficult,thus,clean,decision,wellbeing
appreciate,depressed,pressure,already,water consumption,matter,staff
innovation,reduction,failure,possible,plant,duty,workforce
innovative,market decline,due to,optimistic,energy use,proposal,local community
creativity,stagnation,result,also,recycle,opinion,mental health
desire,economic slowdown,risk,outlook,energy consumption,communicate,professional
attractive,worsen,substantial,ahead,greenhouse gas emission,top management,human
remarkable,deteriorate,might,time,fossil fuel,guideline,woman
better,negative impact,change,believe,air quality,review,adult
succeed,subdue,severe weather,early,waste management,document,organisation
importantly,recession,extreme weather event,intention,wastewater,appoint,volunteer
exciting,oversupply,consequently,ultimately,energy efficiency,task,child young people
powerful,weak,severe,go forward,carbon emission,question,educational
proud,economic downturn,fail,gradually,wood,role,training
inspiring,slower,scenario,forecast,recycling,compliance,employment
creative,come pressure,unexpected,trend,co2 emission,responsibility,job
help,spike,inevitable,prospect,ecological,request,welfare
genuine,weak demand,shift,beyond,air pollution,conduct,child adolescent
well,sharp drop,threat,move forward,transport,independence,school
enable,slow growth,uncertainty,prospects,environmental,selection process,violence
perfect,negatively impact,lack,next,raw material,feedback,diversity
enhance,weakened,unpredictable,start,water resource,code conduct,gender equality
improve,low oil price,damage,horizon,ozone,independent,cultural
happy,collapse,limit,trajectory,natural resource,director,disabled
excellence,negative effect,crisis,exist,packaging,function,child youth
positive,slow,extreme weather,project,pesticide,nomination,veteran
passion,softening,phenomenon,finally,fuel,rule,autism
brilliant,weakening,naturally,medium term,renewable,board director,citizen
amazing,weaker demand,external factor,prediction,biomass,conflict interest,social inclusion
enthusiastic,slower growth,drought,so that,water usage,executive director,student
demonstrate,fall sharply,because of,in order,circular economy,executive management,mental
impressive,weaken,may,market,gas,management team,employer
true,overcapacity,shortage,see,landfill,corporate,people intellectual disability
support,underperformance,weather condition,momentum,noise,board member,vulnerable people
confident,muted,constraint,optimism,production,remuneration,society
distinctive,sale decline,natural disaster,upcome,greenhouse gas,must,promotion
experience,downward pressure,problem,possibility,pollute,furthermore,childhood
valuable,supply shortage,ability,hopeful,waterway,qualification,promote
enjoy,market downturn,uncertain,long term,air emission,dialogue,initiative
drive,fluctuation,occur,eventually,production process,remuneration policy,local
